,Season,Team,Tournament,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Jugador
12,2012/2013,Real Madrid,SLL,19(6),1744,2,0.8,34.8,81.7,0.1,1.1,0.2,6.85,Sami Khedira
13,2012/2013,Real Madrid,UCL,9(2),761,2,1.1,33.3,85.2,0.2,0.8,0.1,6.76,Sami Khedira
14,2012,Germany,UEC,5,450,-,0.8,62,88.1,0.6,3.2,0.4,6.77,Sami Khedira
15,2011/2012,Real Madrid,SLL,20(8),1880,2,0.5,36.5,87,-,1.4,0.1,6.85,Sami Khedira
16,2011/2012,Real Madrid,UCL,8,722,-,1,50.4,86.1,0.1,2.8,-,7.13,Sami Khedira
17,2010/2011,Real Madrid,SLL,20(5),1839,1,0.9,40.6,86.2,0.1,1.8,0.1,6.99,Sami Khedira
18,2010/2011,Real Madrid,UCL,8,670,1,1.1,53.3,89.2,0.1,1.4,-,7.16,Sami Khedira
19,2009/2010,VfB Stuttgart,GB,24(1),2104,5,1.4,40.8,79.8,0.2,1.7,0.2,7.08,Sami Khedira
20,2009/2010,VfB Stuttgart,UCL,5,420,2,1.6,44.4,82,0.6,2.4,-,6.58,Sami Khedira
21,Total / Average,,,279,20747,30,0.8,40.2,85.3,0.2,1.6,0.1,6.88,Sami Khedira
