,Season,Team,Tournament,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Jugador
0,2017/2018,Bayern Munich,GB,20(7),1824,8,12,1.6,1.9,0.4,0.4,0.3,0.5,1.3,7.28,Thomas Müller
1,2017/2018,Bayern Munich,UCL,7(2),644,3,2,2.1,1.2,0.6,0.2,0.3,1,0.8,7.02,Thomas Müller
2,2016/2017,Bayern Munich,GB,25(4),2265,5,12,2.2,2.1,0.6,0.8,0.6,1.3,1.3,7.30,Thomas Müller
3,2016/2017,Bayern Munich,UCL,5(4),463,3,-,2.4,0.6,0.1,0.4,0.4,1.2,0.8,6.72,Thomas Müller
4,2015/2016,Bayern Munich,GB,26(5),2345,20,5,3,1.9,1.2,0.9,0.4,1.1,1.5,7.50,Thomas Müller
5,2015/2016,Bayern Munich,UCL,9(3),926,8,2,3,1.6,0.2,0.6,0.3,1,1.8,7.19,Thomas Müller
6,2014/2015,Bayern Munich,GB,28(4),2374,13,10,2.6,1.3,0.8,1.1,0.5,1,1.7,7.27,Thomas Müller
7,2014/2015,Bayern Munich,UCL,10,778,7,3,2.4,1.9,1.1,0.9,0.3,1.2,1.5,7.59,Thomas Müller
8,2016,Germany,UEC,6,570,-,1,3.3,1.7,1.2,1,0.5,1.7,2.8,7.24,Thomas Müller
9,2013/2014,Bayern Munich,UCL,8(4),710,5,1,1.9,1.3,0.6,0.4,0.7,1.3,1.1,6.89,Thomas Müller
10,2013/2014,Bayern Munich,GB,25(6),2173,13,10,2.3,2,1,0.7,0.4,1.6,1.3,7.36,Thomas Müller
11,2014,Germany,WC,7,682,5,3,2.3,2.3,1.7,2.4,1.1,1.7,2.7,7.98,Thomas Müller
12,2012/2013,Bayern Munich,GB,25(3),2102,13,11,2.4,2,1.6,1.5,0.8,1.8,1.3,7.69,Thomas Müller
13,2012/2013,Bayern Munich,UCL,12(1),1047,8,2,2.5,1.2,0.8,1.5,0.5,1.3,1.8,7.53,Thomas Müller
