Comp,EquipoA,EquipoB,GolesA,GolesB,Info,JugadoresA,JugadoresB
Gulf Cup of Nations,Kuwait,Saudi Arabia,1,2,/matches/2017/12/22/asia/gulf-cup/kuwait/saudi-arabia/2701689/,"[Hameed Al Qallaf, Hussain Al Shammari, Khaled Al Qahtani, Sami Al Sanea, Sultan Al Enezi, Fahad Al Ansari, Fahad Al Enezi, Mohammed Al Ajmi, Faisal Al Harbi, Fahad Al Hajeri, Bader Al Mutawa]","[Assaf Al Qarni, Omar Hawsawi, Mohammed Al Khabrani, Abdulrahman Al Obaid, Salem Saeed, Ahmed Al Fraidi, Naif Hazazi, Nouh Al mousa, Salman Al Moasher, Saleh Al Jamaan, Hazzaa Al Hazzaa]"
Gulf Cup of Nations,Saudi Arabia,Oman,0,2,/matches/2017/12/28/asia/gulf-cup/saudi-arabia/oman/2701693/,"[Assaf Al Qarni, Omar Hawsawi, Mohammed Al Khabrani, Abdulrahman Al Obaid, Nouh Al mousa, Sultan Al Ghanam, Jaber Mustafa, Ali Al-Nemer, Mukhtar Fallatah, Salman Al Moasher, Saleh Al Jamaan]","[Faiyz Al Rashidi, Mohammed Al Musalami, Saad Suhail, Ali Al Busaidi, Fahmi Durbein, Ahmed Kano, Harib Al Saadi, Raed Ibrahim Saleh, Jameel Al Yahmadi, Abdul Aziz Al Muqbali, Khalid Khalifa Al Hajri]"
Friendlies,Iraq,Saudi Arabia,4,1,/matches/2018/02/28/world/friendlies/iraq/saudi-arabia/2738469/,"[Mohammed Hameed, Ali Faez Atiyah, Mustafa Nadhim, Alaa Ali Mhawi, Humam Tariq, Hussein Ali, Mahdi Kamil, Hussam Kadhem Jaber, Mahdi Karim, Emad Mohsin, Muhanad Ali]","[Waleed Abdullah, Hassan Muath Fallatah, Abdullah Al Zoari, Ahmad Asiri, Saeed Al Yami, Mohammad Al Shalhoub, Ahmed Al Fraidi, Abdulmalek Al Khaibri, Ibrahim Ghaleb, Hassan Al Raheb, Mohammed Al Kuwaykibi]"
Friendlies,Belgium,Saudi Arabia,4,0,/matches/2018/03/27/world/friendlies/belgium/saudi-arabia/2724444/,"[S. Mignolet, V. Kompany, J. Vertonghen, T. Alderweireld, T. Meunier, A. Witsel, E. Hazard, K. De Bruyne, Y. Carrasco, D. Mertens, R. Lukaku]","[Fawaz Al Qarni, Mansour Al Harbi, Hassan Muath Fallatah, Omar Hawsawi, Motaz Hawsawi, Taisir Al Jassim, Hussain Al Mogahwi, Salem Al Dawsari, Abdullah Otayf, Mohammad Al Sahlawi, Fahad Al Muwallad]"
Friendlies,Saudi Arabia,Greece,2,0,/matches/2018/05/15/world/friendlies/saudi-arabia/greece/2782307/,"[Yasser Al Mosailem, Osama Hawsawi, Yasir Al Shahrani, Omar Hawsawi, Mohammed Al Burayk, Taisir Al Jassim, Yehya Al Shehri, Salman Al Faraj, Salem Al Dawsari, Abdullah Otayf, Mohammad Al Sahlawi]","[V. Barkas, D. Giannoulis, S. Risvanis, D. Nikolaou, A. Tziolis, P. Tachtsidis, M. Bakakis, D. Pelkas, A. Bakasetas, M. Manias, D. Limnios]"
Friendlies,Saudi Arabia,Peru,0,3,/matches/2018/06/03/world/friendlies/saudi-arabia/peru/2724446/,"[Abdullah Al Maiouf, Mansour Al Harbi, Motaz Hawsawi, Mohammed Al Burayk, Ali Albulayhi, Salman Al Faraj, Hussain Al Mogahwi, Hattan Babhir, Salem Al Dawsari, Abdullah Alkhaibari, Fahad Al Muwallad]","[P. Gallese, C. Ramos, L. Advíncula, A. Santamaría, M. Trauco, Y. Yotún, C. Cueva, R. Tapia, É. Flores, P. Guerrero, A. Carrillo]"
Friendlies,Italy,Saudi Arabia,2,1,/matches/2018/05/28/world/friendlies/italy/saudi-arabia/2724445/,"[G. Donnarumma, L. Bonucci, D. Criscito, D. Zappacosta, A. Romagnoli, Jorginho, A. Florenzi, Lorenzo Pellegrini, M. Balotelli, L. Insigne, M. Politano]","[Mohammed Al Owais, Osama Hawsawi, Mansour Al Harbi, Yasir Al Shahrani, Omar Hawsawi, Taisir Al Jassim, Yehya Al Shehri, Salman Al Faraj, Abdullah Otayf, Mohammed Kanoo, Mohanad Aseri]"
Friendlies,Germany,Saudi Arabia,2,1,/matches/2018/06/08/world/friendlies/germany/saudi-arabia/2724432/,"[M. Neuer, J. Boateng, M. Hummels, J. Kimmich, S. Khedira, T. Kroos, J. Hector, J. Draxler, T. Müller, M. Reus, T. Werner]","[Abdullah Al Maiouf, Osama Hawsawi, Mansour Al Harbi, Yasir Al Shahrani, Omar Hawsawi, Taisir Al Jassim, Yehya Al Shehri, Salman Al Faraj, Salem Al Dawsari, Abdullah Otayf, Fahad Al Muwallad]"
Friendlies,Saudi Arabia,Moldova,3,0,/matches/2018/02/26/world/friendlies/saudi-arabia/moldova/2738447/,"[Mohammed Al Owais, Osama Hawsawi, Mansour Al Harbi, Yasir Al Shahrani, Omar Hawsawi, Taisir Al Jassim, Hussain Al Mogahwi, Abdullah Otayf, Abdullah Alkhaibari, Mohammad Al Sahlawi, Salman Al Moasher]","[S. Paşcenco, P. Racu, I. Jardan, C. Bogdan, A. Cojocari, A. Paşcenco, D. Spătaru, S. Plătică, A. Macriţchii, A. Boiciuc, V. Damaşcan]"
Friendlies,Saudi Arabia,Ukraine,1,1,/matches/2018/03/23/world/friendlies/saudi-arabia/ukraine/2724443/,"[Yasser Al Mosailem, Osama Hawsawi, Mansour Al Harbi, Yasir Al Shahrani, Omar Hawsawi, Taisir Al Jassim, Yehya Al Shehri, Salem Al Dawsari, Abdullah Otayf, Mohammad Al Sahlawi, Fahad Al Muwallad]","[A. Lunin, Y. Rakitskiy, Y. Khacheridi, M. Matviyenko, Marlos, T. Stepanenko, Y. Konoplyanka, O. Karavaev, O. Zinchenko, V. Tsygankov, A. Kravets]"
Friendlies,Saudi Arabia,Algeria,2,0,/matches/2018/05/09/world/friendlies/saudi-arabia/algeria/2782306/,"[Abdullah Al Maiouf, Osama Hawsawi, Yasir Al Shahrani, Omar Hawsawi, Saeed Al Mowalad, Taisir Al Jassim, Salman Al Faraj, Hattan Babhir, Salem Al Dawsari, Abdullah Otayf, Mohammad Al Sahlawi]","[T. Moussaoui, M. Benmoussa, F. Chafaï, M. Naamani, A. Azzi, I. Bennacer, S. Boukhanchouche, H. Cherif El Ouazani, A. Belkheir, L. Abid, S. Lakroum]"
WC Qualification Asia,Saudi Arabia,Australia,2,2,/matches/2016/10/06/asia/wc-qualifying-asia/saudi-arabia/australia/2228546/,"[Yasser Al Mosailem, Osama Hawsawi, Mansour Al Harbi, Hassan Muath Fallatah, Omar Hawsawi, Taisir Al Jassim, Abdulmalek Al Khaibri, Yehya Al Shehri, Nawaf Al Abid, Salman Al Faraj, Naif Hazazi]","[M. Ryan, M. Špiranović, T. Sainsbury, B. Smith, M. Milligan, M. Jedinak, M. Leckie, A. Mooy, T. Rogić, R. Kruse, T. Jurić]"
WC Qualification Asia,Japan,Saudi Arabia,2,1,/matches/2016/11/15/asia/wc-qualifying-asia/japan/saudi-arabia/2228554/,"[S. Nishikawa, M. Morishige, M. Yoshida, Y. Nagatomo, H. Sakai, M. Hasebe, H. Kiyotake, G. Haraguchi, H. Yamaguchi, Y. Ōsako, Y. Kubo]","[Mohammed Al Owais, Osama Hawsawi, Hassan Muath Fallatah, Yasir Al Shahrani, Omar Hawsawi, Taisir Al Jassim, Abdulmalek Al Khaibri, Yehya Al Shehri, Nawaf Al Abid, Salman Al Faraj, Mohammad Al Sahlawi]"
Friendlies,Cambodia,Saudi Arabia,2,7,/matches/2017/01/14/world/friendlies/cambodia/saudi-arabia/2388482/,"[Um Serei Rath, Sam Oeun Pidor, Soeuy Visal, Kungsomrach Ros, Seut Baraing, Sos Souhana, Hoy Phallin, Keo Sokpheng, Chreng Polroth, Khuon Laboravy, Nub Tola]","[Mohammed Al Owais, Osama Hawsawi, Mansour Al Harbi, Ahmad Asiri, Mohammed Al Burayk, Taisir Al Jassim, Abdulmalek Al Khaibri, Abdulmajeed Al Ruwaili, Abdulfattah Asiri, Nasser Al Shamrani, Salman Al Moasher]"
WC Qualification Asia,Saudi Arabia,Thailand,1,0,/matches/2016/09/01/asia/wc-qualifying-asia/saudi-arabia/thailand/2228542/,"[Yasser Al Mosailem, Osama Hawsawi, Mansour Al Harbi, Hassan Muath Fallatah, Omar Hawsawi, Taisir Al Jassim, Abdulmalek Al Khaibri, Nawaf Al Abid, Salman Al Faraj, Naif Hazazi, Salman Al Moasher]","[K. Thamsatchanan, T. Bunmathan, T. Do, K. Narmwiset, P. Anan, C. Songkrasin, K. Thaweekarn, T. Kesarat, S. Yooyen, T. Dangda, M. Tossakai]"
WC Qualification Asia,UAE,Saudi Arabia,1,1,/matches/2016/03/29/asia/wc-qualifying-asia/united-arab-emirates/saudi-arabia/2028615/,"[Majed Naser, Walid Abbas, Mohamed Ahmad, Abdelaziz Husain, Ismail Ahmed, Omar Abdulrahman, Amer Abdulrahman, Mohamed Abdulrahman, Khamis Esmail, Ahmed Khalil, Ali Ahmed Mabkhout]","[Khaled Sharahili, Osama Hawsawi, Abdullah Al Zoari, Yasir Al Shahrani, Omar Hawsawi, Taisir Al Jassim, Abdulmalek Al Khaibri, Yehya Al Shehri, Salman Al Faraj, Mohammad Al Sahlawi, Salman Al Moasher]"
WC Qualification Asia,Saudi Arabia,Iraq,1,0,/matches/2017/03/28/asia/wc-qualifying-asia/saudi-arabia/iraq/2228558/,"[Yasser Al Mosailem, Osama Hawsawi, Mansour Al Harbi, Yasir Al Shahrani, Omar Hawsawi, Taisir Al Jassim, Abdulmalek Al Khaibri, Yehya Al Shehri, Nawaf Al Abid, Salman Al Faraj, Mohammad Al Sahlawi]","[Mohammed Hameed, Ahmad Ibrahim Khalaf, Dhurgham Ismail, Rebin Solaka Adhamat, Ali Adnan, Alaa Ali Mhawi, Ahmed Yasin, Saad Abdulameer, Amjad Attwan, Hammadi Ahmad, Mohannad Abdulraheem]"
WC Qualification Asia,UAE,Saudi Arabia,2,1,/matches/2017/08/29/asia/wc-qualifying-asia/united-arab-emirates/saudi-arabia/2228580/,"[Khalid Essa, Mohamed Ahmad, Mahmoud Khamis, Mohammed Fawzi, Mohanad Salem, Tariq Ahmed Hassan, Khamis Esmail, Ahmed Barman, Ismaeil Matar, Ahmed Khalil, Ali Ahmed Mabkhout]","[Abdullah Al Maiouf, Osama Hawsawi, Mansour Al Harbi, Yasir Al Shahrani, Omar Hawsawi, Taisir Al Jassim, Abdulmalek Al Khaibri, Yehya Al Shehri, Nawaf Al Abid, Salman Al Faraj, Mohammad Al Sahlawi]"
Non-FIFA Friendlies,Saudi Arabia,Latvia,2,0,/matches/2017/11/07/world/non-fifa-friendlies/saudi-arabia/latvia/2678224/,"[Abdullah Al Maiouf, Hassan Muath Fallatah, Mohammed Al Fatil, Mohammed Al Khabrani, Abdulrahman Al Obaid, Hussain Al Mogahwi, Abdullah Otayf, Abdulfattah Asiri, Nouh Al mousa, Mukhtar Fallatah, Ali Al Zaqan]","[A. Vaņins, I. Tarasovs, A. Solovjovs, K. Dubra, Ņ. Koļesovs, A. Višņakovs, G. Kļuškins, J. Kazačoks, D. Indrāns, D. Rakels, V. Šabala]"
Friendlies,Bulgaria,Saudi Arabia,1,0,/matches/2017/11/13/world/friendlies/bulgaria/saudi-arabia/2671303/,"[P. Iliev, N. Bodurov, V. Bozhikov, A. Nedyalkov, I. Popov, M. Aleksandrov, G. Kostadinov, S. Slavchev, M. Raynov, T. Nedelev, S. Delev]","[Waleed Abdullah, Mansour Al Harbi, Mohammed Al Fatil, Saeed Al Mowalad, Mohammed Al Khabrani, Taisir Al Jassim, Nouh Al mousa, Abdulmajeed Al Sulaiheem, Mohanad Aseri, Salman Al Moasher, Ali Al Zaqan]"
Gulf Cup of Nations,UAE,Saudi Arabia,0,0,/matches/2017/12/25/asia/gulf-cup/united-arab-emirates/saudi-arabia/2701691/,"[Khalid Essa, Fares Juma, Mohammed Fawzi, Mohanad Salem, Khaleefa Mubarak Ghanim, Mohammed Al Menhali, Omar Abdulrahman, Mohamed Abdulrahman, Khamis Esmail, Ali Salmeen Al Balushi, Ali Ahmed Mabkhout]","[Assaf Al Qarni, Omar Hawsawi, Mohammed Al Khabrani, Abdulrahman Al Obaid, Salem Saeed, Naif Hazazi, Nouh Al mousa, Mohammed Kanoo, Ali Al-Nemer, Mukhtar Fallatah, Salman Al Moasher]"
Friendlies,Portugal,Bulgaria,0,1,/matches/2016/03/25/world/friendlies/portugal/bulgaria/2189876/,"[Anthony Lopes, Pepe, Bruno Alves, Eliseu, Adrien Silva, Vieirinha, William Carvalho, João Mário, Rafa Silva, Cristiano Ronaldo, Nani]","[V. Stoyanov, Z. Milanov, A. Aleksandrov, N. Bodurov, S. Popov, I. Popov, S. Dyakov, M. Aleksandrov, I. Chochev, D. Rangelov, Marcelinho]"
Friendlies,Portugal,Norway,3,0,/matches/2016/05/29/world/friendlies/portugal/norway/2195959/,"[Anthony Lopes, Ricardo Carvalho, José Fonte, Cédric Soares, Raphaël Guerreiro, Ricardo Quaresma, João Moutinho, William Carvalho, João Mário, André Gomes, Éder]","[R. Jarstein, E. Hovland, S. Strandberg, M. Linnes, R. Jenssen, S. Johansen, M. Henriksen, Valon Berisha, A. Trondsen, J. King, Veton Berisha]"
European Championship,Portugal,Wales,2,0,/matches/2016/07/06/europe/european-championships/portugal/wales/2024889/,"[Rui Patrício, Bruno Alves, José Fonte, Cédric Soares, Raphaël Guerreiro, Adrien Silva, Danilo Pereira, João Mário, Renato Sanches, Cristiano Ronaldo, Nani]","[W. Hennessey, J. Collins, C. Gunter, N. Taylor, A. Williams, J. Chester, A. King, J. Ledley, J. Allen, G. Bale, H. Robson-Kanu]"
Friendlies,Portugal,Estonia,7,0,/matches/2016/06/08/world/friendlies/portugal/estonia/2216680/,"[Rui Patrício, Pepe, José Fonte, Cédric Soares, Raphaël Guerreiro, Ricardo Quaresma, João Moutinho, Danilo Pereira, João Mário, André Gomes, Cristiano Ronaldo]","[P. Londak, R. Klavan, T. Teniste, D. Kruglov, K. Kallaste, N. Baranov, Aleksandr Dmitrijev, S. Puri, K. Mets, I. Antonov, Henri Anier]"
European Championship,Portugal,Austria,0,0,/matches/2016/06/18/europe/european-championships/portugal/austria/2024874/,"[Rui Patrício, Ricardo Carvalho, Pepe, Raphaël Guerreiro, Ricardo Quaresma, João Moutinho, Vieirinha, William Carvalho, André Gomes, Cristiano Ronaldo, Nani]","[R. Almer, F. Klein, S. Prödl, C. Fuchs, D. Alaba, M. Hinteregger, J. Baumgartlinger, S. Ilsanker, M. Sabitzer, M. Harnik, M. Arnautović]"
Friendlies,Portugal,Gibraltar,5,0,/matches/2016/09/01/world/friendlies/portugal/gibraltar/2319779/,"[Eduardo, Pepe, Bruno Alves, João Cancelo, Raphaël Guerreiro, Ricardo Quaresma, João Moutinho, William Carvalho, João Mário, Nani, Éder]","[J. Perez, S. Wiseman, J. Chipolina, J. Mascarenhas-Olivero, R. Chipolina, R. Casciaro, J. Garcia, L. Walker, A. Payas, A. Bardon, K. Casciaro]"
WC Qualification Europe,Portugal,Andorra,6,0,/matches/2016/10/07/europe/wc-qualifying-europe/portugal/andorra/2116216/,"[Rui Patrício, Pepe, José Fonte, João Cancelo, Raphaël Guerreiro, Ricardo Quaresma, João Moutinho, André Gomes, Bernardo Silva, Cristiano Ronaldo, André Silva]","[Josep Gómes, Ildefons Lima, Jordi Rubio, Marc Vales, Marc García, Marc Rebés, Max Llovera, Victor Rodríguez, Marcio Vieira, Cristian Martínez, Jordi Aláez]"
WC Qualification Europe,Portugal,Latvia,4,1,/matches/2016/11/13/europe/wc-qualifying-europe/portugal/latvia/2116221/,"[Rui Patrício, Bruno Alves, José Fonte, João Cancelo, Raphaël Guerreiro, William Carvalho, João Mário, André Gomes, Cristiano Ronaldo, Nani, André Silva]","[A. Vaņins, K. Gorkšs, V. Gabovs, G. Freimanis, I. Tarasovs, V. Maksimenko, V. Jagodinskis, O. Laizāns, G. Kļuškins, D. Ikaunieks, A. Rudņevs]"
Friendlies,Portugal,Sweden,2,3,/matches/2017/03/28/world/friendlies/portugal/sweden/2399780/,"[Marafona, Bruno Alves, Neto, Eliseu, João Cancelo, João Moutinho, Danilo Pereira, Renato Sanches, Bernardo Silva, Cristiano Ronaldo, Gelson Martins]","[K. Johnsson, A. Granqvist, N. Hult, E. Krafth, F. Helander, J. Johansson, S. Larsson, V. Claesson, S. Larsson, C. Nyman, I. Thelin]"
WC Qualification Europe,Latvia,Portugal,0,3,/matches/2017/06/09/europe/wc-qualifying-europe/latvia/portugal/2116228/,"[A. Vaņins, K. Gorkšs, A. Solovjovs, V. Maksimenko, V. Jagodinskis, Ņ. Koļesovs, O. Laizāns, G. Kļuškins, D. Ikaunieks, J. Kazačoks, V. Šabala]","[Rui Patrício, Bruno Alves, José Fonte, Cédric Soares, Raphaël Guerreiro, João Moutinho, William Carvalho, André Gomes, Cristiano Ronaldo, André Silva, Gelson Martins]"
Confederations Cup,Portugal,Chile,0,0,/matches/2017/06/28/world/confederations-cup/portugal/chile/2166022/,"[Rui Patrício, Bruno Alves, José Fonte, Eliseu, Cédric Soares, Adrien Silva, William Carvalho, André Gomes, Bernardo Silva, Cristiano Ronaldo, André Silva]","[C. Bravo, G. Jara, M. Isla, G. Medel, A. Vidal, M. Díaz, C. Aránguiz, J. Beausejour, P. Hernández, A. Sánchez, E. Vargas]"
WC Qualification Europe,Portugal,Faroe Islands,5,1,/matches/2017/08/31/europe/wc-qualifying-europe/portugal/faroe-islands/2116230/,"[Rui Patrício, Pepe, José Fonte, Eliseu, Cédric Soares, João Moutinho, William Carvalho, João Mário, Bernardo Silva, Cristiano Ronaldo, André Silva]","[G. Nielsen, O. Færø, A. Gregersen, V. Davidsen, R. Baldvinsson, J. Næs, G. Sørensen, R. Jakobsen, J. Edmundsson, S. Vatnhamar, R. Joensen]"
WC Qualification Europe,Andorra,Portugal,0,2,/matches/2017/10/07/europe/wc-qualifying-europe/andorra/portugal/2116236/,"[Josep Gómes, Ildefons Lima, Marc Vales, Moisés San Nicolás, Marc Rebés, Chus Rubio, Max Llovera, Victor Rodríguez, Marcio Vieira, Jordi Aláez, Ludovic Clemente]","[Rui Patrício, Pepe, Neto, Eliseu, Nélson Semedo, Ricardo Quaresma, Danilo Pereira, João Mário, Bernardo Silva, André Silva, Gelson Martins]"
WC Qualification Europe,Hungary,Portugal,0,1,/matches/2017/09/03/europe/wc-qualifying-europe/hungary/portugal/2116233/,"[P. Gulácsi, R. Guzmics, M. Korhut, A. Fiola, T. Kádár, B. Dzsudzsák, M. Pátkai, Á. Elek, T. Priskin, M. Eppel, G. Lovrencsics]","[Rui Patrício, Pepe, Bruno Alves, Fábio Coentrão, Cédric Soares, João Moutinho, Danilo Pereira, João Mário, Cristiano Ronaldo, André Silva, Gelson Martins]"
WC Qualification Europe,Portugal,Switzerland,2,0,/matches/2017/10/10/europe/wc-qualifying-europe/portugal/switzerland/2116240/,"[Rui Patrício, Pepe, José Fonte, Eliseu, Cédric Soares, João Moutinho, William Carvalho, João Mário, Bernardo Silva, Cristiano Ronaldo, André Silva]","[Y. Sommer, J. Djourou, S. Lichtsteiner, R. Rodríguez, F. Schär, B. Džemaili, A. Mehmedi, X. Shaqiri, G. Xhaka, R. Freuler, H. Seferović]"
Friendlies,Portugal,United States,1,1,/matches/2017/11/14/world/friendlies/portugal/united-states-of-america/2636963/,"[Beto, Pepe, Antunes, Ricardo Ferreira, Nélson Semedo, Manuel Fernandes, Danilo Pereira, Bruma, Gonçalo Guedes, Bruno Fernandes, Gelson Martins]","[E. Horvath, E. Lichaj, J. Brooks, D. Yedlin, M. Miazga, D. Williams, K. Acosta, T. Adams, W. McKennie, J. Agudelo, C. Sapong]"
Friendlies,Portugal,Netherlands,0,3,/matches/2018/03/26/world/friendlies/portugal/netherlands/2700017/,"[Anthony Lopes, José Fonte, Rolando, Mário Rui, João Cancelo, Ricardo Quaresma, Manuel Fernandes, Adrien Silva, André Gomes, Bruno Fernandes, Cristiano Ronaldo]","[J. Cillessen, N. Aké, V. van Dijk, K. Tete, M. de Ligt, R. Babel, G. Wijnaldum, D. Pröpper, T. Vilhena, D. van de Beek, M. Depay]"
Friendlies,Belgium,Portugal,0,0,/matches/2018/06/02/world/friendlies/belgium/portugal/2745227/,"[T. Courtois, V. Kompany, J. Vertonghen, T. Alderweireld, T. Meunier, M. Dembélé, K. De Bruyne, Y. Carrasco, E. Hazard, D. Mertens, R. Lukaku]","[Beto, Pepe, José Fonte, Cédric Soares, Raphaël Guerreiro, João Moutinho, William Carvalho, João Mário, Gonçalo Guedes, Bernardo Silva, Gelson Martins]"
World Cup,Portugal,Spain,3,3,/matches/2018/06/15/world/world-cup/portugal/spain/2166068/,"[Rui Patrício, Pepe, José Fonte, Cédric Soares, Raphaël Guerreiro, João Moutinho, William Carvalho, Gonçalo Guedes, Bruno Fernandes, Bernardo Silva, Cristiano Ronaldo]","[David de Gea, Sergio Ramos, Piqué, Jordi Alba, Nacho, Iniesta, David Silva, Sergio Busquets, Isco, Koke, Diego Costa]"
Friendlies,Portugal,Cyprus,4,0,/matches/2017/06/03/world/friendlies/portugal/cyprus/2435085/,"[Rui Patrício, José Fonte, Neto, Eliseu, Cédric Soares, João Moutinho, Danilo Pereira, João Mário, Bernardo Silva, Nani, André Silva]","[A. Georgallides, K. Laifis, C. Kyriakou, J. Demetriou, R. Margaça, K. Artymatas, F. Katelaris, N. Alexandrou, K. Charalambidis, P. Soteriou, A. Makris]"
Confederations Cup,Portugal,Mexico,2,2,/matches/2017/06/18/world/confederations-cup/portugal/mexico/2166011/,"[Rui Patrício, Pepe, José Fonte, Cédric Soares, Raphaël Guerreiro, Ricardo Quaresma, João Moutinho, William Carvalho, André Gomes, Cristiano Ronaldo, Nani]","[G. Ochoa, H. Moreno, M. Layún, D. Reyes, C. Salcedo, A. Guardado, H. Herrera, J. dos Santos, C. Vela, Javier Hernández, R. Jiménez]"
Confederations Cup,New Zealand,Portugal,0,4,/matches/2017/06/24/world/confederations-cup/new-zealand/portugal/2166015/,"[S. Marinovic, A. Durante, M. Boxall, T. Smith, T. Doyle, M. McGlinchey, C. Lewis, M. Rojas, C. Wood, R. Thomas, D. Ingham]","[Rui Patrício, Pepe, Bruno Alves, Eliseu, Nélson Semedo, Ricardo Quaresma, João Moutinho, Danilo Pereira, Bernardo Silva, Cristiano Ronaldo, André Silva]"
Friendlies,Portugal,Belgium,2,1,/matches/2016/03/29/world/friendlies/portugal/belgium/2189878/,"[Rui Patrício, Pepe, José Fonte, Cédric Soares, Raphaël Guerreiro, Adrien Silva, Danilo Pereira, João Mário, André Gomes, Cristiano Ronaldo, Nani]","[T. Courtois, T. Vermaelen, N. Lombaerts, J. Denayer, G. Gillet, M. Fellaini, A. Witsel, R. Nainggolan, N. Chadli, D. Mertens, R. Lukaku]"
Friendlies,England,Portugal,1,0,/matches/2016/06/02/world/friendlies/england/portugal/2214972/,"[J. Hart, G. Cahill, D. Rose, K. Walker, C. Smalling, J. Milner, D. Alli, E. Dier, W. Rooney, H. Kane, J. Vardy]","[Rui Patrício, Ricardo Carvalho, Bruno Alves, Eliseu, Adrien Silva, João Moutinho, Vieirinha, Danilo Pereira, João Mário, Rafa Silva, Nani]"
European Championship,Portugal,Iceland,1,1,/matches/2016/06/14/europe/european-championships/portugal/iceland/2024872/,"[Rui Patrício, Ricardo Carvalho, Pepe, Raphaël Guerreiro, João Moutinho, Vieirinha, Danilo Pereira, João Mário, André Gomes, Cristiano Ronaldo, Nani]","[H. Halldórsson, R. Sigurðsson, B. Sævarsson, A. Skúlason, B. Bjarnason, K. Árnason, A. Gunnarsson, J. Guðmunds­son, G. Sigurðsson, K. Sigþórsson, J. Böðvarsson]"
Friendlies,Portugal,Algeria,3,0,/matches/2018/06/07/world/friendlies/portugal/algeria/2749053/,"[Rui Patrício, Pepe, Bruno Alves, Cédric Soares, Raphaël Guerreiro, João Moutinho, William Carvalho, Gonçalo Guedes, Bruno Fernandes, Bernardo Silva, Cristiano Ronaldo]","[A. Salhi, C. Medjani, M. Benmoussa, A. Mandi, R. Bensebaini, R. Mahrez, Z. Ferhat, N. Bentaleb, S. Boukhanchouche, Y. Brahimi, I. Slimani]"
Friendlies,Portugal,Tunisia,2,2,/matches/2018/05/28/world/friendlies/portugal/tunisia/2749052/,"[Anthony Lopes, Pepe, Raphaël Guerreiro, Ricardo Pereira, Rúben Dias, Ricardo Quaresma, Adrien Silva, William Carvalho, João Mário, Bernardo Silva, André Silva]","[M. Hassen, Y. Benalouane, O. Haddadi, H. Nagguez, N. Sliti, F. Sassi, E. Skhiri, S. Khaoui, Y. Meriah, S. Khalifa, A. Badri]"
European Championship,Hungary,Portugal,3,3,/matches/2016/06/22/europe/european-championships/hungary/portugal/2024875/,"[G. Király, R. Juhász, R. Guzmics, M. Korhut, Á. Lang, B. Dzsudzsák, Á. Pintér, Á. Elek, Z. Gera, Á. Szalai, G. Lovrencsics]","[Rui Patrício, Ricardo Carvalho, Pepe, Eliseu, João Moutinho, Vieirinha, William Carvalho, João Mário, André Gomes, Cristiano Ronaldo, Nani]"
European Championship,Poland,Portugal,1,1,/matches/2016/06/30/europe/european-championships/poland/portugal/2024885/,"[Ł. Fabiański, A. Jędrzejczyk, M. Pazdan, Ł. Piszczek, K. Glik, J. Błaszczykowski, K. Mączyński, G. Krychowiak, K. Grosicki, R. Lewandowski, A. Milik]","[Rui Patrício, Pepe, José Fonte, Eliseu, Cédric Soares, Adrien Silva, William Carvalho, João Mário, Renato Sanches, Cristiano Ronaldo, Nani]"
WC Qualification Europe,Switzerland,Portugal,2,0,/matches/2016/09/06/europe/wc-qualifying-europe/switzerland/portugal/2116213/,"[Y. Sommer, J. Djourou, S. Lichtsteiner, R. Rodríguez, F. Schär, V. Behrami, B. Džemaili, A. Mehmedi, G. Xhaka, H. Seferović, B. Embolo]","[Rui Patrício, Pepe, José Fonte, Cédric Soares, Raphaël Guerreiro, Adrien Silva, João Moutinho, William Carvalho, Bernardo Silva, Nani, Éder]"
WC Qualification Europe,Faroe Islands,Portugal,0,6,/matches/2016/10/10/europe/wc-qualifying-europe/faroe-islands/portugal/2116218/,"[G. Nielsen, A. Gregersen, V. Davidsen, S. Nattestad, G. Sørensen, J. Edmundsson, F. Benjaminsen, S. Vatnhamar, B. Jógvansson-Hansen, H. Hansson, B. Olsen]","[Rui Patrício, Pepe, José Fonte, Antunes, João Cancelo, Ricardo Quaresma, William Carvalho, João Mário, André Gomes, Cristiano Ronaldo, André Silva]"
WC Qualification Europe,Portugal,Hungary,3,0,/matches/2017/03/25/europe/wc-qualifying-europe/portugal/hungary/2116225/,"[Rui Patrício, Pepe, José Fonte, Cédric Soares, Raphaël Guerreiro, Ricardo Quaresma, William Carvalho, João Mário, André Gomes, Cristiano Ronaldo, André Silva]","[P. Gulácsi, M. Korhut, T. Kádár, P. Vinícius, B. Bese, Á. Lang, B. Dzsudzsák, Á. Gyurcsó, Á. Nagy, Z. Gera, Á. Szalai]"
Friendlies,Romania,Spain,0,0,/matches/2016/03/27/world/friendlies/romania/spain/2188310/,"[C. Tătărușanu, C. Sapunaru, V. Chiricheș, D. Grigore, S. Filip, O. Hoban, M. Pintilii, N. Stanciu, A. Popa, B. Stancu, F. Andone]","[Casillas, Piqué, Jordi Alba, Mario Gaspar, Bartra, David Silva, Pedro, Sergi Roberto, Koke, Nolito, Paco Alcácer]"
