Alemania,26.620689655172413
Arabia Saudí,28.08695652173913
Argentina,28.0
Australia,27.17241379310345
Brasil,28.0
Bélgica,27.032258064516128
Colombia,27.655172413793103
Costa Rica,28.533333333333335
Croacia,27.0
Dinamarca,26.96551724137931
Egipto,28.47826086956522
España,28.0
Francia,25.571428571428573
Inglaterra,25.75
Islandia,24.227272727272727
Japón,27.41176470588235
Marruecos,26.782608695652176
México,27.55
Nigeria,24.774193548387096
Panamá,26.804878048780488
Perú,26.0
Polonia,27.466666666666665
Portugal,27.91304347826087
RI de Irán,26.954545454545453
República de Corea,27.24390243902439
Rusia,28.26086956521739
Senegal,26.65625
Serbia,26.310344827586206
Suecia,27.357142857142858
Suiza,26.444444444444443
Túnez,26.575757575757574
Uruguay,27.73913043478261
