,Equipo,Jugador,Posición
650, Algeria,Rafik Halliche,Defender
651, Algeria,Djamel Mesbah,Defender
652, Algeria,Carl Medjani,Defender
653, Algeria,Liassine Cadamuro,Defender
654, Algeria,Aissa Mandi,Defender
655, Algeria,Hassan Yebda,Midfielder
656, Algeria,Medhi Lacen,Midfielder
657, Algeria,Yacine Brahimi,Midfielder
658, Algeria,Nabil Bentaleb,Midfielder
659, Algeria,Abdelmoumene Djabou,Midfielder
660, Algeria,Saphir Taïder,Midfielder
661, Algeria,Mehdi Mostefa,Midfielder
662, Algeria,Nabil Ghilas,Forward
663, Algeria,Sofiane Feghouli,Forward
664, Algeria,Islam Slimani,Forward
665, Algeria,El Arabi Soudani,Forward
666, Algeria,Riyad Mahrez,Forward
667, Belgium,Thibaut Courtois,Goalkeeper
668, Belgium,Simon Mignolet,Goalkeeper
669, Belgium,Sammy Bossut,Goalkeeper
670, Belgium,Toby Alderweireld,Defender
671, Belgium,Thomas Vermaelen,Defender
672, Belgium,Vincent Kompany,Defender
673, Belgium,Jan Vertonghen,Defender
674, Belgium,Daniel van Buyten,Defender
675, Belgium,Nicolas Lombaerts,Defender
676, Belgium,Anthony Vanden Borre,Defender
677, Belgium,Laurent Ciman,Defender
678, Belgium,Axel Witsel,Midfielder
679, Belgium,Kevin De Bruyne,Midfielder
680, Belgium,Marouane Fellaini,Midfielder
681, Belgium,Eden Hazard,Midfielder
682, Belgium,Dries Mertens,Midfielder
683, Belgium,Steven Defour,Midfielder
684, Belgium,Mousa Dembélé,Midfielder
685, Belgium,Adnan Januzaj,Midfielder
686, Belgium,Nacer Chadli,Midfielder
687, Belgium,Romelu Lukaku,Forward
688, Belgium,Kevin Mirallas,Forward
689, Belgium,Divock Origi,Forward
690, Russia,Igor Akinfeev,Goalkeeper
691, Russia,Juri Lodygin,Goalkeeper
692, Russia,Sergei Ryzhikov,Goalkeeper
693, Russia,Aleksei Kozlov,Defender
694, Russia,Georgy Schennikov,Defender
695, Russia,Sergei Ignashevitch,Defender
696, Russia,Andrey Semenov,Defender
697, Russia,Vladimir Granat,Defender
698, Russia,Vassili Berezutski,Defender
699, Russia,Andrey Yeshchenko,Defender
700, Russia,Igor Denisov,Midfielder
701, Russia,Denis Glushakov,Midfielder
702, Russia,Alan Dzagoev,Midfielder
703, Russia,Pavel Mogilevets,Midfielder
704, Russia,Oleg Shatov,Midfielder
705, Russia,Yuri Zhirkov,Midfielder
706, Russia,Aleksandr Samedov,Midfielder
707, Russia,Viktor Faizulin,Midfielder
708, Russia,Aleksey Ionov,Midfielder
709, Russia,Dmitriy Kombarov,Midfielder
710, Russia,Maksim Kanunnikov,Forward
711, Russia,Alexander Kokorin,Forward
712, Russia,Alexander Kerzhakov,Forward
713, South Korea,Sung Ryong Jung,Goalkeeper
714, South Korea,Seung-Gyu Kim,Goalkeeper
715, South Korea,Bum-Young Lee,Goalkeeper
716, South Korea,Chang-Soo Kim,Defender
717, South Korea,Suk-Young Yun,Defender
718, South Korea,Tae-Hwi Kwak,Defender
719, South Korea,Young-Gwon Kim,Defender
720, South Korea,Seok-Ho Hwang,Defender
721, South Korea,Yong Lee,Defender
722, South Korea,Jeong-Ho Hong,Defender
723, South Korea,Joo-Ho Park,Defender
724, South Korea,Bo Kyung Kim,Midfielder
725, South Korea,Dae-Sung Ha,Midfielder
726, South Korea,Ja-Cheol Koo,Midfielder
727, South Korea,Kook-Young Han,Midfielder
728, South Korea,Jong-Woo Park,Midfielder
729, South Korea,Sung Yueng Ki,Midfielder
730, South Korea,Chung Yong Lee,Midfielder
731, South Korea,Heung-Min Son,Forward
732, South Korea,Chu Young Park,Forward
733, South Korea,Keun-Ho Lee,Forward
734, South Korea,Shin-Wook Kim,Forward
735, South Korea,Dong-Won Ji,Forward
